Date,Coal Australia Index,Shrimp Index,Wheat Index,Natural gas EU price,Natural Gas US price,Natural Gas US Index,Beef price,Beef Index,Coal Australia price,Natural gas EU index,Shrimp price,Wheat price
1997M6,49.22818314,94.5504767,98.60314836,2.729999966,2.203,86.30400699,80.10713959,44.95141715,34.5,62.71056584,8.070070106,141.2006619
1997M7,49.94163507,96.82556852,91.06647003,2.599999958,2.173875,85.16301553,81.72727203,45.86054023,35,59.72434818,8.26425369,130.4080657
1997M8,52.69555952,95.18231923,97.30798929,2.599999958,2.442,95.66699277,82.82142639,46.47451533,36.93,59.72434818,8.123999115,139.3459816
1997M9,53.00947837,89.36787716,96.53544801,2.599999958,2.8505,111.6702551,80.47023773,45.15516648,37.15,59.72434818,7.62772499,138.239695
1997M10,53.00947837,92.65437573,95.1160999,2.449999915,3.0604,119.8932288,79.71739197,44.7327137,37.15,56.27871168,7.908234139,136.2071748
1997M11,47.94396967,94.5504767,94.53989223,2.449999915,2.932125,114.8679694,83.2361145,46.70721392,33.6,56.27871168,8.070070106,135.3820398
1997M12,44.80478118,94.80332838,90.59233981,2.449999915,2.327625,91.18627521,84.28408813,47.29527511,31.4,56.27871168,8.091651497,129.7291066
1998M1,44.80478118,94.80332838,88.93110922,2.489999983,2.1093,82.63324646,82.86904907,46.50123838,31.4,57.19754938,8.091651497,127.3502083
1998M2,47.71566505,94.80332838,89.60057095,2.489999983,2.2115,86.63700021,82.08750153,46.06267984,33.44,57.19754938,8.091651497,128.308884
1998M3,45.48969503,94.80332838,89.54925333,2.489999983,2.223,87.08752045,81.6818161,45.83503303,31.88,57.19754938,8.091651497,128.2353967
1998M4,44.49086233,94.80332838,82.53973246,2.369999992,2.451875,96.05385254,81.73750305,45.86628128,31.18,54.44104115,8.091651497,118.197695
1998M5,43.20664886,94.80332838,82.64581109,2.369999992,2.1539,84.38048146,80.40000153,45.11575405,30.28,54.44104115,8.091651497,118.3496006
1998M6,42.80711578,96.06701346,78.46931185,2.369999992,2.145,84.03181798,77.47727203,43.47569009,30,54.44104115,8.199509516,112.3688133
1998M7,42.80711578,93.28621827,74.45517836,2.209999932,2.192,85.87307459,75.9375,42.61166055,30,50.76569523,7.962163149,106.6205354
1998M8,37.38488111,91.01112645,67.73926326,2.209999932,1.856,72.71004856,76.11904907,42.71353522,26.2,50.76569523,7.767979564,97.00328
1998M9,38.65482554,86.46036945,68.13580854,2.209999932,1.962,76.86266987,75.04762268,42.11231372,27.09,50.76569523,7.379563458,97.57113667
1998M10,38.66909458,81.15163075,78.32046853,1.910000059,1.9252,75.42100511,74.26190186,41.67141338,27.1,43.87442709,6.926452115,112.1556683
1998M11,37.24219072,82.16246414,80.73361869,1.910000059,2.10275,82.3766458,75.5735321,42.40742317,26.1,43.87442709,7.012728743,115.6113226
1998M12,37.24219072,82.16246414,78.07530203,1.910000059,1.72175,67.4507145,76.34722137,42.8415721,26.1,43.87442709,7.012728743,111.8045875
1999M1,37.24219072,81.32019854,78.1371913,1.788888889,1.8452,72.2869513,77.59999847,43.54455696,26.1,41.09239408,6.94083971,111.8932135
1999M2,37.24219072,80.89877906,72.81970801,1.788888889,1.77675,69.6053765,81.825,45.91537942,26.1,41.09239408,6.904870724,104.278526
1999M3,37.24219072,80.89877906,73.0272097,1.788888889,1.7745,69.51723123,81.5,45.73300853,26.1,41.09239408,6.904870724,104.5756704
1999M4,37.24219072,81.65676076,71.45979098,1.67,2.1099,82.65675186,79.11111111,44.39250453,26.1,38.36140888,6.969565961,102.3311117
1999M5,37.24219072,85.32282354,69.55981705,1.67,2.2595,88.5174325,79.85,44.80712553,26.1,38.36140888,7.282471666,99.61033063
1999M6,37.24219072,85.95466607,69.79196821,1.67,2.308125,90.42234959,79.93478261,44.85470055,26.1,38.36140888,7.336400676,99.94277333
1999M7,37.24219072,85.95466607,64.9534494,1.73,2.2993,90.07662428,81.59538095,45.78653071,26.1,39.73966309,7.336400676,93.01396762
1999M8,37.24219072,86.27058734,68.45071214,1.73,2.7865,109.163012,88.32954545,49.56534792,26.1,39.73966309,7.36336518,98.02208167
1999M9,37.24219072,83.26847526,66.19973455,1.73,2.59775,101.7686038,86.47727273,48.52596136,26.1,39.73966309,7.107128979,94.79866
1999M10,36.52873879,82.79488003,61.83773654,2.038888889,2.6896,105.3668893,84.64285714,47.49659518,25.6,46.83511996,7.06670669,88.55223667
1999M11,35.81528687,85.32282354,64.01873554,2.038888889,2.333,91.39684445,87.93125,49.34184793,25.1,46.83511996,7.282471666,91.67544833
1999M12,35.81528687,85.32282354,63.15414515,2.038888889,2.3526,92.16468763,88.875,49.87142494,25.1,46.83511996,7.282471666,90.43734652
2000M1,35.81528687,85.32282354,65.37865257,3.055555556,2.40275,94.12934762,88.2,49.49265463,25.1,70.18887187,7.282471666,93.62286267
2000M2,35.81528687,85.32282354,68.5517923,3.055555556,2.657375,104.1044533,89.05,49.96962465,25.1,70.18887187,7.282471666,98.16682944
2000M3,35.81528687,86.0813786,67.31533507,3.055555556,2.7816,108.9710512,90.46,50.76083376,25.1,70.18887187,7.34721584,96.39621072
2000M4,35.81528687,86.58650861,65.94314643,3.24,3.035263158,118.9084761,90.05,50.53076586,25.1,74.42572741,7.390329685,94.43122333
2000M5,36.52873879,86.58650861,69.21185594,3.24,3.589545456,140.622858,90.9,51.00773589,25.6,74.42572741,7.390329685,99.11204696
2000M6,36.52873879,86.58650861,72.18290295,3.24,4.287272728,167.9567932,88.05681818,49.41230941,25.6,74.42572741,7.390329685,103.366615
2000M7,36.52873879,86.57733485,67.82479263,3.59,3.9895,156.2913463,86.92857143,48.77920366,25.6,82.46554364,7.389546687,97.12575889
2000M8,36.52873879,86.58650861,67.49383115,3.59,4.426521739,173.4119669,86.39130435,48.47772096,25.6,82.46554364,7.390329685,96.65181884
2000M9,38.74043978,86.16566249,72.23566457,3.59,5.0645,198.4051945,82.69190476,46.40183541,27.15,82.46554364,7.354409637,103.4421702
2000M10,38.74043978,87.21892451,75.26196037,3.93,5.021363636,196.7152984,82.875,46.50457769,27.15,90.27565084,7.444307632,107.775855
2000M11,38.74043978,88.48260958,73.34921258,3.93,5.522,216.3280647,89.71590909,50.34329369,27.15,90.27565084,7.552165651,105.0367817
2000M12,43.87729367,89.24116464,79.42685206,3.93,8.9135,349.1923588,88.15,49.46459757,30.75,90.27565084,7.616909825,113.7400202
2001M1,45.80361388,91.43254592,76.45159619,4.22,8.172857142,320.1771765,87.80681818,49.27202411,32.1,96.93721286,7.80394855,109.479425
2001M2,45.80361388,93.53906995,72.1525789,4.22,5.551578947,217.4868399,87.5625,49.13492711,32.1,96.93721286,7.98374454,103.3231907
2001M3,46.51706581,94.80332838,73.72243166,4.22,5.177727272,202.840949,91.05818182,51.09649823,32.6,96.93721286,8.091651497,105.571235
2001M4,47.80127928,94.80332838,74.12952926,4.26,5.1825,203.0279239,90.1125,50.56583719,33.5,97.856049,8.091651497,106.1542027
2001M5,48.22935044,94.80332838,77.3557397,4.26,4.195,164.341947,91.48863636,51.33804401,33.8,97.856049,8.091651497,110.7741672
2001M6,48.37204083,94.80332838,76.41438536,4.26,3.727142858,146.0133288,94.45238095,53.00112323,33.9,97.856049,8.091651497,109.4261387
2001M7,48.51473121,94.80332838,75.65850564,3.78,3.107142858,121.7244117,98.45454545,55.24690266,34,86.83001531,8.091651497,108.3437117
2001M8,48.22935044,88.48260958,72.78177759,3.78,2.954347825,115.7385635,101.8043478,57.12661481,33.8,86.83001531,7.552165651,104.2242093
2001M9,46.80244658,78.79168168,72.04994365,3.78,2.190526316,85.81534202,107.25,60.18239466,32.8,86.83001531,6.725025796,103.176216
2001M10,46.23168504,75.21047616,73.20570578,3.24,2.470434783,96.78094451,103.3913043,58.01712151,32.4,74.42572741,6.419362825,104.8312786
2001M11,41.95097346,69.52217325,74.58161309,3.24,2.3555,92.27829708,104.275,58.51299956,29.4,74.42572741,5.933854927,106.8015911
2001M12,39.02582055,66.7964206,72.88385504,3.218571429,2.423157895,94.92884062,100.8333333,56.58173857,27.35,73.93349377,5.70120655,104.3703852
2002M1,41.5229023,67.78431959,74.15396622,2.79,2.258095238,88.46240001,101.0454545,56.70076852,29.1,64.08882083,5.785525682,106.1891967
2002M2,42.5930802,72.37381866,72.51180226,2.79,2.310526316,90.51642275,102.95,57.76948746,29.85,64.08882083,6.1772485,103.837602
2002M3,42.16500904,75.62386054,71.61374385,2.79,3.0315,118.7610518,109.025,61.1784203,29.55,64.08882083,6.454646,102.5515737
2002M4,41.1519073,68.70701682,73.18592923,2.56,3.427727272,134.2835218,103.7386364,58.21202382,28.84,58.80551302,5.864279714,104.8029583
2002M5,40.85225749,72.73516354,72.69252955,2.56,3.504545456,137.2929258,96.4673913,54.13182858,28.63,58.80551302,6.20809,104.0964052
2002M6,38.02698785,76.2319355,80.59432799,2.56,3.225,126.3415445,93.89473684,52.68820614,26.65,58.80551302,6.5065464,115.411857
2002M7,35.52990609,75.21116334,92.62831075,2.52,2.99,117.1352614,96.9047619,54.37725525,24.9,57.88667688,6.419421478,132.6446367
2002M8,34.24569262,73.31591379,104.4780166,2.52,3.087272728,120.945986,95.72727273,53.71651754,24,57.88667688,6.257658182,149.61353
2002M9,34.88779936,74.34795794,121.0484995,2.532380952,3.553,139.1911652,92.5625,51.94063315,24.45,58.17107854,6.34574519,173.3426217
2002M10,37.4562263,76.3039513,125.728178,2.78,4.133043478,161.9147586,86.967,48.80076752,26.25,63.85911179,6.512693091,180.0439667
2002M11,37.4562263,79.34084064,114.7193259,2.78,4.062105264,159.1357064,81.5625,45.76807985,26.25,63.85911179,6.7718976,164.279184
2002M12,37.4562263,79.81216365,104.1864392,2.813636364,4.747619047,185.99117,84,47.13586155,26.25,64.63176946,6.81212595,149.1959883
2003M1,38.06775653,81.63774052,98.10219061,3.15,5.461428571,213.9551383,85.35,47.89340218,26.67857143,72.35834609,6.967942545,140.4832856
2003M2,38.44996292,82.29409151,98.92147197,3.15,7.862631579,308.0238814,83.75,46.99557625,26.94642857,72.35834609,7.0239634,141.6565044
2003M3,37.30334375,78.49899912,90.25487065,3.17037037,5.944285714,232.8713917,83.875,47.0657189,26.14285714,72.82627191,6.700044762,129.2458475
2003M4,35.85095946,81.59341413,88.0219431,3.577777778,5.276666667,206.7169664,82.625,46.36429239,25.125,82.18478816,6.9641592,126.0482737
2003M5,35.62163563,86.4375136,91.5164289,3.577777778,5.813333333,227.7412441,79.3,44.49849787,24.96428571,82.18478816,7.377612667,131.0524111
2003M6,36.84469608,88.81840191,82.51140779,3.58,5.829047619,228.3568618,78.25,43.9092996,25.82142857,82.23583461,7.58082619,118.1571338
2003M7,37.22690247,84.73712797,80.84858349,3.61,5.027272727,196.946791,81,45.45243792,26.08928571,82.92496172,7.232481391,115.7759533
2003M8,38.71750739,82.34722756,93.21479788,3.61,4.986190476,195.3373662,91.125,51.13399266,27.13392857,82.92496172,7.028498667,133.4844919
2003M9,40.81964254,83.22423943,91.23540382,3.61,4.620952381,181.0289181,97,54.43069727,28.60714286,82.92496172,7.103353364,130.6499805
2003M10,42.04270299,82.46477593,90.82103791,3.6,4.633913043,181.5366608,98.4,55.21629496,29.46428571,82.69525268,7.038531652,130.0566045
2003M11,45.73099467,81.16454533,98.70539776,3.6,4.491666667,175.9640633,110.75,62.14638889,32.04910714,82.69525268,6.9275544,141.347084
2003M12,51.98006916,78.30371366,101.3034328,3.6,6.14,240.5386305,105.4,59.14428342,36.42857143,82.69525268,6.683376762,145.0674954
2004M1,57.71316502,79.80041122,102.85518,3.39,6.150526316,240.951006,107.06,60.07577783,40.44642857,77.87136294,6.811122857,147.2896124
2004M2,63.82846727,80.60350853,98.97549052,3.39,5.376315789,210.6207878,99.5,55.83355029,44.73214286,77.87136294,6.8796688,141.7338595
2004M3,74.81690101,74.55946198,99.54452685,3.39,5.396086957,211.3953366,97.25,54.57098257,52.43303571,77.87136294,6.363797478,142.548725
2004M4,81.40996125,72.31796172,101.9998863,3.48,5.715238095,223.8982971,102.1,57.29251743,57.05357143,79.93874426,6.172481,146.0648235
2004M5,86.28309273,81.10735274,99.98833835,3.48,6.335,248.1778867,114.625,64.32081107,60.46875,79.93874426,6.9226729,143.1842674
2004M6,91.0415623,81.94348988,95.57296487,3.48,6.267142857,245.5195374,116.75,65.51323614,63.80357143,79.93874426,6.994038857,136.8614098
2004M7,93.83166895,81.48311184,92.44869906,3.81,5.935,232.5076176,120.3,67.50528743,65.75892857,87.51914242,6.954744682,132.387431
2004M8,90.58291463,76.60616457,85.2339077,3.81,5.407727273,211.8513538,126.75,71.12464823,63.48214286,87.51914242,6.538487591,122.05578
2004M9,84.65871557,77.44213871,88.56138907,3.81,5.167142857,202.4262974,127.875,71.75593209,59.33035714,87.51914242,6.609839636,126.8207655
2004M10,86.56974753,78.43358261,85.93258271,4.34,6.378571429,249.8848267,119.5,67.05637447,60.66964286,99.69372129,6.694461333,123.0562894
2004M11,80.76021039,77.77894616,88.77948897,4.34,6.187,242.3798871,118.375,66.42509061,56.59821429,99.69372129,6.638586818,127.1330867
2004M12,79.88113569,79.17139152,86.28054382,4.34,6.581904762,257.8505468,116.8,65.5412932,55.98214286,99.69372129,6.757434783,123.554573
2005M1,81.09655201,71.47424204,85.73891977,5.06,6.152,241.0087385,115.25,64.67152433,56.83392857,116.2327718,6.100467857,122.7789622
2005M2,76.28457355,73.03668848,85.98402894,5.06,6.138421053,240.4767742,117.375,65.8639494,53.46160714,116.2327718,6.23382575,123.1299609
2005M3,77.85544182,83.51722194,90.75055224,5.06,6.955454545,272.4846109,120,67.33694507,54.5625,116.2327718,7.12836,129.9556683
2005M4,78.35231012,78.67155294,83.84322231,5.51,7.175714286,281.1134344,118.2,66.32689089,54.91071429,126.5696784,6.714772571,120.0643051
2005M5,78.44786172,80.46010949,83.20786126,5.51,6.473809524,253.6158431,121.45,68.15059982,54.97767857,126.5696784,6.867429409,119.1544619
2005M6,77.97010373,76.25161828,85.52548511,5.51,7.184545455,281.4594013,120.325,67.51931596,54.64285714,126.5696784,6.508226364,122.4733217
2005M7,77.81722118,75.31002732,90.89634095,6.13,7.6165,298.3815112,122.6,68.79591221,54.53571429,140.8116386,6.427859714,130.1644392
2005M8,72.33082217,79.78735953,91.8697024,6.13,9.524782609,373.1397662,120,67.33694507,50.69074675,140.8116386,6.81000887,131.5583022
2005M9,68.95003291,75.96356455,95.93951932,6.13,12.5315381,490.931435,120.3,67.50528743,48.32142857,140.8116386,6.483640409,137.3863194
